label,feat_idx,feat_name,mae_change,max_change
suhu_y,10,temp_lag_24,0.18052983283996582,0.3720494508743286
suhu_y,6,hour_sin,0.16049185395240784,0.2816268503665924
suhu_y,11,temp_lag_168,0.15915334224700928,0.38502681255340576
suhu_y,4,dewpoint_2m,0.14548227190971375,0.4318256378173828
suhu_y,7,hour_cos,0.11149976402521133,0.2003956139087677
suhu_y,1,light_intensity,0.08594463765621185,0.18890488147735596
suhu_y,3,humidity,0.07180754095315933,0.19904649257659912
suhu_y,5,wind_speed_10m,0.0602615661919117,0.13944393396377563
suhu_y,9,doy_cos,0.04337422549724579,0.043690025806427
suhu_y,2,cloud_cover,0.033315062522888184,0.06304037570953369
suhu_y,8,doy_sin,0.02307601273059845,0.02365046739578247
humidity_y,6,hour_cos,0.26504236459732056,0.6227473616600037
humidity_y,2,dewpoint_2m,0.23157761991024017,0.9045661687850952
humidity_y,4,wind_speed_10m,0.12045791000127792,0.36797797679901123
humidity_y,5,hour_sin,0.11426512151956558,0.26829659938812256
humidity_y,1,suhu,0.09392424672842026,0.1771918535232544
humidity_y,8,doy_cos,0.046189114451408386,0.046670615673065186
humidity_y,3,cloud_cover,0.03330197185277939,0.11620128154754639
humidity_y,7,doy_sin,0.029473265632987022,0.03042745590209961
light_intensity_y,3,hour_cos,0.3723040223121643,0.910996675491333
light_intensity_y,5,doy_cos,0.036687519401311874,0.03703063726425171
light_intensity_y,4,doy_sin,0.015407828614115715,0.015671133995056152
light_intensity_y,1,cloud_cover,0.013876259326934814,0.03495907783508301
light_intensity_y,2,hour_sin,0.00205501657910645,0.004897713661193848
precipitation_y,7,wind_dir_cos,0.08732873946428299,0.7413495182991028
precipitation_y,9,hour_cos,0.07584122568368912,0.28516465425491333
precipitation_y,11,doy_cos,0.0744905024766922,0.07563617080450058
precipitation_y,3,humidity,0.05355687811970711,0.2078600823879242
precipitation_y,4,dewpoint_2m,0.03350178524851799,0.15021580457687378
precipitation_y,8,hour_sin,0.02871129661798477,0.0962778627872467
precipitation_y,5,wind_speed_10m,0.009169988334178925,0.036197468638420105
precipitation_y,6,wind_dir_sin,0.0018028949853032827,0.00728626549243927
precipitation_y,1,cloud_cover,0.000694706744980067,0.0034567564725875854
precipitation_y,10,doy_sin,0.00041773635894060135,0.00043338537216186523
precipitation_y,2,surface_pressure,0.0003975751460529864,0.0006603598594665527
