label,input_dim,val_windows,MAE_scaled,MSE_scaled,RMSE_scaled,SMAPE_scaled,MAE_real,MSE_real,RMSE_real,SMAPE_real
suhu_y,12,16604,0.268208,0.123908,0.352006,49.1341,0.8131,1.1387,1.0671,3.6371
humidity_y,9,16604,0.304382,0.167582,0.409368,56.1841,0.0434,0.0034,0.0584,5.7644
light_intensity_y,6,16604,0.180965,0.101944,0.319286,26.8321,52.1001,8449.7861,91.9227,112.2692
precipitation_y,12,16604,0.342022,0.758667,0.871015,98.2757,0.3379,0.7405,0.8605,168.0699
