label,feat_idx,feat_name,mae_change,max_change
suhu_y,4,dewpoint_2m,0.4201388955116272,0.7735669016838074
suhu_y,6,hour_sin,0.2941300570964813,0.6750238537788391
suhu_y,11,temp_lag_168,0.20926250517368317,0.4978961944580078
suhu_y,3,humidity,0.1490851789712906,0.3399357795715332
suhu_y,10,temp_lag_24,0.1276181936264038,0.33258819580078125
suhu_y,7,hour_cos,0.08819427341222763,0.19444870948791504
suhu_y,9,doy_cos,0.08804413676261902,0.08811444044113159
suhu_y,1,light_intensity,0.0755191445350647,0.2898012399673462
suhu_y,2,cloud_cover,0.0725710391998291,0.1166113018989563
suhu_y,5,wind_speed_10m,0.05791843309998512,0.1993088722229004
suhu_y,8,doy_sin,0.00029471341986209154,0.0013191699981689453
humidity_y,1,suhu,0.46408283710479736,0.8818459510803223
humidity_y,6,hour_cos,0.41216257214546204,0.8537182807922363
humidity_y,2,dewpoint_2m,0.3768201172351837,1.1896657943725586
humidity_y,3,cloud_cover,0.1105823740363121,0.2876870632171631
humidity_y,4,wind_speed_10m,0.07777365297079086,0.2565133571624756
humidity_y,8,doy_cos,0.06196752190589905,0.06204390525817871
humidity_y,5,hour_sin,0.036233171820640564,0.07299107313156128
humidity_y,7,doy_sin,0.00033582031028345227,0.0009835362434387207
light_intensity_y,2,hour_sin,0.4539574980735779,0.9565218091011047
light_intensity_y,3,hour_cos,0.07367118448019028,0.16318365931510925
light_intensity_y,5,doy_cos,0.04865274578332901,0.048719048500061035
light_intensity_y,1,cloud_cover,0.0040869624353945255,0.005750536918640137
light_intensity_y,4,doy_sin,0.0002600678999442607,0.0004737377166748047
precipitation_y,11,doy_cos,0.11821922659873962,0.11828005313873291
precipitation_y,7,wind_dir_cos,0.07742994278669357,0.914783775806427
precipitation_y,3,humidity,0.07116130739450455,0.3117697834968567
precipitation_y,5,wind_speed_10m,0.014689153991639614,0.08019354939460754
precipitation_y,9,hour_cos,0.014556736685335636,0.06184016168117523
precipitation_y,6,wind_dir_sin,0.012116256169974804,0.028009876608848572
precipitation_y,2,surface_pressure,0.01170421950519085,0.024959683418273926
precipitation_y,8,hour_sin,0.011391053907573223,0.05193152278661728
precipitation_y,1,cloud_cover,0.010354995727539062,0.01640269160270691
precipitation_y,4,dewpoint_2m,0.008534940890967846,0.01583792269229889
precipitation_y,10,doy_sin,0.0001828187087085098,0.00031717121601104736
