label,input_dim,val_windows,MAE_scaled,MSE_scaled,RMSE_scaled,SMAPE_scaled,MAE_real,MSE_real,RMSE_real,SMAPE_real
suhu_y,12,11218,0.263054,0.120426,0.347024,48.4035,0.8003,1.1146,1.0557,3.5821
humidity_y,9,11218,0.295641,0.15733,0.396648,55.3241,0.0425,0.0032,0.057,5.6465
light_intensity_y,6,11218,0.179787,0.100498,0.317014,26.6139,51.7844,8337.5361,91.3101,112.2329
precipitation_y,12,11218,0.328364,0.691034,0.831285,94.5844,0.3224,0.6664,0.8163,168.0482
