label,feat_idx,feat_name,mae_change,max_change
suhu_y,10,temp_lag_24,0.18642762303352356,0.4178532361984253
suhu_y,4,dewpoint_2m,0.1649954468011856,0.44481587409973145
suhu_y,11,temp_lag_168,0.15531715750694275,0.38775038719177246
suhu_y,6,hour_sin,0.13958819210529327,0.23501445353031158
suhu_y,1,light_intensity,0.10735368728637695,0.19879889488220215
suhu_y,7,hour_cos,0.10032541304826736,0.1721266508102417
suhu_y,5,wind_speed_10m,0.08965429663658142,0.1494826376438141
suhu_y,3,humidity,0.06785038858652115,0.2389599084854126
suhu_y,9,doy_cos,0.03719872981309891,0.0373796671628952
suhu_y,2,cloud_cover,0.033929936587810516,0.07668113708496094
suhu_y,8,doy_sin,0.025726620107889175,0.026192307472229004
humidity_y,6,hour_cos,0.280069500207901,0.5463869571685791
humidity_y,1,suhu,0.22277787327766418,0.3756847381591797
humidity_y,2,dewpoint_2m,0.18988695740699768,0.6033027768135071
humidity_y,5,hour_sin,0.12802419066429138,0.2520056366920471
humidity_y,4,wind_speed_10m,0.11319658905267715,0.35760894417762756
humidity_y,3,cloud_cover,0.06722215563058853,0.22097563743591309
humidity_y,8,doy_cos,0.06684102863073349,0.06808066368103027
humidity_y,7,doy_sin,0.022118546068668365,0.022866051644086838
light_intensity_y,3,hour_cos,0.37016767263412476,0.7985961437225342
light_intensity_y,2,hour_sin,0.049951594322919846,0.10957562923431396
light_intensity_y,5,doy_cos,0.032491497695446014,0.032810211181640625
light_intensity_y,4,doy_sin,0.017155291512608528,0.01748126745223999
light_intensity_y,1,cloud_cover,0.010684064589440823,0.027510762214660645
precipitation_y,7,wind_dir_cos,0.14717994630336761,0.4648856818675995
precipitation_y,11,doy_cos,0.08482301235198975,0.08593761175870895
precipitation_y,5,wind_speed_10m,0.07544919103384018,0.3319980800151825
precipitation_y,3,humidity,0.04484185576438904,0.10036751627922058
precipitation_y,2,surface_pressure,0.02285616658627987,0.036643266677856445
precipitation_y,9,hour_cos,0.018757697194814682,0.037596434354782104
precipitation_y,8,hour_sin,0.012448685243725777,0.030216462910175323
precipitation_y,6,wind_dir_sin,0.006709253415465355,0.04970851540565491
precipitation_y,4,dewpoint_2m,0.006138692144304514,0.020603686571121216
precipitation_y,10,doy_sin,0.004182144533842802,0.004309229552745819
precipitation_y,1,cloud_cover,0.0014371383003890514,0.006472915410995483
