label,input_dim,val_windows,MAE_scaled,MSE_scaled,RMSE_scaled,SMAPE_scaled,MAE_real,MSE_real,RMSE_real,SMAPE_real
suhu_y,12,11146,0.244485,0.104497,0.32326,46.1829,0.7411,0.9603,0.9799,3.3161
humidity_y,9,11146,0.267328,0.127935,0.35768,51.6706,0.0381,0.0026,0.051,5.0465
light_intensity_y,6,11146,0.177928,0.099861,0.316009,26.5298,51.2256,8277.2061,90.9792,112.0516
precipitation_y,12,11146,0.310833,0.622119,0.788745,86.2212,0.3071,0.6072,0.7792,169.8267
