label,input_dim,val_windows,MAE_scaled,MSE_scaled,RMSE_scaled,SMAPE_scaled,MAE_real,MSE_real,RMSE_real,SMAPE_real
suhu_y,12,11069,0.262843,0.12031,0.346858,48.5137,0.7968,1.1056,1.0515,3.5667
humidity_y,9,11069,0.292532,0.153591,0.391906,54.8628,0.0417,0.0031,0.0559,5.5407
light_intensity_y,6,11069,0.180635,0.100931,0.317696,26.7912,52.005,8365.8164,91.4648,112.1374
precipitation_y,12,11069,0.338642,0.751795,0.867061,98.3164,0.3346,0.7337,0.8566,168.2077
